miR	Counts
hsa-miR-154	573
hsa-miR-455-3p	2741
hsa-miR-98	5347
hsa-miR-654-3p	3876
hsa-miR-636	709
hsa-miR-329	1538
hsa-miR-744	1904
hsa-miR-377	619
hsa-miR-127-5p	1666
hsa-miR-19a	15679
hsa-miR-186	4778
hsa-miR-432	1441
hsa-miR-494	2438
hsa-miR-27a	3575
hsa-miR-4308	1397
hsa-miR-7	1417
hsa-miR-4284	6540
hsa-miR-495	1280
hsa-miR-4278	785
hsa-miR-4258	558
hsa-miR-32	1032
hsa-miR-455-5p	1162
hsa-miR-132	1793
hsa-miR-1249	1610
hsa-miR-149	5014
hsa-miR-543	764
hsa-miR-4295	9188
hsa-miR-374b	2916
hsa-miR-362-3p	596
hsa-miR-188-5p	1151
hsa-miR-370	5294
hsa-miR-190	1202
hsa-miR-487a	655
hsa-miR-134	1624
hsa-miR-323-3p	750
hsa-miR-1973	1644
hsa-miR-193a-5p	7432
hsa-miR-127-3p	1225
hsa-miR-3613-5p	3168
hsa-miR-431	633
hsa-miR-4292	862
hsa-miR-301b	1076
hsa-miR-299-5p	1394
hsa-miR-769-5p	769
hsa-miR-204	3104
hsa-miR-409-3p	1308
hsa-miR-337-5p	1390
hsa-let-7a	2891
hsa-miR-1274b	5214
hsa-miR-887	2215
hsa-miR-3162	584
hsa-miR-4263	1127
hsa-miR-4305	619
hsa-miR-454	1043
hsa-miR-381	661
hsa-miR-3944	772
hsa-miR-762	1221
hsa-miR-1271	780
hsa-miR-369-5p	582
hsa-miR-423-5p	2630
hsa-miR-192	856
hsa-miR-374a	1194
hsa-miR-196b	731
hsa-miR-664	1146
hsa-miR-196a	5084
hsa-miR-323b-3p	1048
hsa-miR-122	1063
hsa-miR-4320	3145
hsa-miR-34c-5p	1330
hsa-miR-339-3p	1056
hsa-miR-30c	553
hsa-miR-532-3p	1082
hsa-miR-137	1279
hsa-miR-205	1642
hsa-miR-3175	593
hsa-miR-142-3p	505
hsa-miR-27b	923
hsa-miR-627	1814
hsa-miR-1296	1626
hsa-miR-663	916
hsa-miR-940	3808
hsa-miR-4300	534
hsa-miR-181c	904
hsa-miR-382	1179
hsa-miR-1307	2211
hsa-miR-126	616
hsa-miR-1972	1228
hsa-miR-708	1063
hsa-miR-891a	921
hsa-miR-936	1140
hsa-miR-223	545
hsa-miR-545	932
hsa-miR-3614-5p	1220
hsa-miR-548b-3p	534
hsa-miR-483-5p	993
hsa-miR-1228	886
hsa-miR-1287	618
hsa-miR-34b	1060
hsa-miR-150	693
hsa-miR-4326	1065
hsa-miR-451	729
hsa-miR-671-3p	748
hsa-miR-758	524
hsa-miR-33a	526
hsa-miR-95	519
hsa-miR-4319	680
hsa-miR-516a-5p	956
hsa-miR-3647-3p	675
